FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2020,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Fentanyl,42,150.6366166
2020,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Heroin,15,73.89586375
2020,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Marijuana,26,205.2090513
2020,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Methamphetamine,38,1271.979199
2020,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Other Drugs**,8,0.52139325
2020,AUG,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Marijuana,4,0.027557783
2020,AUG,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Cocaine,1,11.0231131
2020,AUG,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Methamphetamine,2,409.7952526
2020,AUG,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Other Drugs**,3,2.872623274
2020,AUG,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Cocaine,3,0.04656163
2020,AUG,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Heroin,1,0.001741652
2020,AUG,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Marijuana,1,0.003395119
2020,AUG,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Methamphetamine,3,0.052822758
2020,AUG,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Fentanyl,1,0.685637635
2020,AUG,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Marijuana,7,106.506862
2020,AUG,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Methamphetamine,2,2.171553281
2020,AUG,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Cocaine,3,83.7636
2020,AUG,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Heroin,2,0.0004
2020,AUG,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Marijuana,4,142.2472
2020,AUG,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Other Drugs**,1,14.0264
2020,AUG,U.S. Border Patrol,Coastal/Interior,Other,RAMEY SECTOR,Cocaine,3,1947.3854
2020,AUG,U.S. Border Patrol,Coastal/Interior,Other,RAMEY SECTOR,Marijuana,1,0.0882
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Methamphetamine,1,52.5893
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Heroin,1,0.022
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Marijuana,2,0.6559
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Cocaine,1,0.0331
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Fentanyl,1,0.0456
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Heroin,1,0.03
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Marijuana,9,69.7202
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Methamphetamine,1,0.0355
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Other Drugs**,1,0.0221
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,GRAND FORKS SECTOR,Marijuana,1,0.0415
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,GRAND FORKS SECTOR,Other Drugs**,1,0.0227
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Marijuana,6,4.1871
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Marijuana,5,264.4364
2020,AUG,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other Drugs**,1,0.0434
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Cocaine,1,0.0088
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Ecstasy,1,0.0138
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Heroin,1,0.0066
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Marijuana,29,1139.1728
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Methamphetamine,1,0.0066
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other Drugs**,2,0.0392
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Cocaine,3,0.0054
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Marijuana,11,0.5318
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Methamphetamine,8,35.2739
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other Drugs**,2,0.0016
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Cocaine,1,6.34
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Fentanyl,4,5.825
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Heroin,4,4.3324
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Marijuana,3,0.0555
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Methamphetamine,25,732.6751
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Cocaine,7,10.6429
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Fentanyl,1,2.2046
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Heroin,6,4.6677
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Marijuana,43,528.8256
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Methamphetamine,29,73.2609
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other Drugs**,15,7.262
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Cocaine,5,0.0242
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Heroin,1,0.1764
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Marijuana,28,8816.7414
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other Drugs**,2,0.03
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Cocaine,10,251.6525
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Ecstasy,2,0.0089
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Heroin,1,11.3316
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Marijuana,83,7605.0857
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Methamphetamine,8,1518.7026
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other Drugs**,15,11.8918
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Cocaine,2,2.36
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Fentanyl,3,223.8742
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Heroin,4,23.1911
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Marijuana,11,32.6041
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Methamphetamine,22,3748.2005
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other Drugs**,2,2.7061
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Cocaine,6,21.4493
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Fentanyl,10,2.6974
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Heroin,10,13.6156
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Marijuana,70,1523.2386
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Methamphetamine,16,216.0059
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other Drugs**,3,0.043
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Cocaine,1,34.2437
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Ecstasy,1,0.0009
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Fentanyl,6,14.4027
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Heroin,4,3.01
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Marijuana,37,1.4797
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Methamphetamine,12,46.5114
2020,AUG,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other Drugs**,6,0.0647
2020,DEC,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Cocaine,2,11.17787761
2020,DEC,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,10,0.538633399
2020,DEC,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,7,1.493940472
2020,DEC,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Cocaine,1,1.687859078
2020,DEC,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Heroin,1,1.785303398
2020,DEC,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Marijuana,50,87.76876023
2020,DEC,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Other Drugs**,39,25.39438657
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Cocaine,18,113.888159
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ecstasy,84,31.49986846
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Fentanyl,1,0.012125424
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Heroin,3,6.194989562
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ketamine,4,1.383180232
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Khat (Catha Edulis),1,36.53059681
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Lsd,4,0.043651528
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Marijuana,119,1130.306093
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Methamphetamine,12,381.9277204
2020,DEC,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Other Drugs**,128,307.703434
2020,DEC,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Cocaine,1,38.1845047
2020,DEC,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Lsd,1,0.000881849
2020,DEC,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Marijuana,52,20.82532824
2020,DEC,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Other Drugs**,32,7.319964393
2020,DEC,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,8,9.236927853
2020,DEC,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,12,1.888545875
2020,DEC,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Khat (Catha Edulis),1,959.0108397
2020,DEC,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,229,203.4392023
2020,DEC,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Methamphetamine,6,10.69109693
2020,DEC,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Other Drugs**,19,201.7386226
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Cocaine,19,435.3071676
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ecstasy,12,1.092831433
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ketamine,6,40.32651604
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Lsd,18,0.020723453
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Marijuana,68,48.75847004
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Methamphetamine,1,0.002645547
2020,DEC,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Other Drugs**,252,431.9802598
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Cocaine,8,29.27011314
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Fentanyl,1,2.976240537
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Heroin,3,10.25149518
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Marijuana,17,21.23111108
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Methamphetamine,6,162.5909182
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Other Drugs**,119,319.6662454
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Cocaine,7,9.877370724
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ecstasy,80,83.51639594
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ketamine,5,3.437668051
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Khat (Catha Edulis),5,4362.926119
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Lsd,18,0.068343301
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Marijuana,17,11.98093344
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Methamphetamine,6,0.335102638
2020,DEC,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Other Drugs**,583,733.1653302
2020,DEC,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Cocaine,1,26.32319408
2020,DEC,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Marijuana,24,40.40949804
2020,DEC,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Other Drugs**,9,0.27094812
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Cocaine,5,0.615817236
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ecstasy,40,7.651980559
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ketamine,6,2.825334119
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Lsd,6,34.00939039
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Marijuana,76,65.36997078
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Methamphetamine,4,8.836347923
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Other Drugs**,194,504.6774702
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Cocaine,12,1585.147915
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Ketamine,1,0.708124786
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Marijuana,45,63.1622176
2020,DEC,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Other Drugs**,9,3.168704092
2020,DEC,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Cocaine,3,2.599801225
2020,DEC,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Ecstasy,2,0.007054792
2020,DEC,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Heroin,1,0.043651528
2020,DEC,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Marijuana,46,1.335097412
2020,DEC,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Methamphetamine,2,0.016115791
2020,DEC,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Other Drugs**,5,2.44986484
2020,DEC,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Cocaine,2,367.0765006
2020,DEC,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Heroin,1,0.000683433
2020,DEC,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Marijuana,27,1.191267833
2020,DEC,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Methamphetamine,1,0.013227736
2020,DEC,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Other Drugs**,10,0.281794863
2020,DEC,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Cocaine,3,0.016314207
2020,DEC,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Marijuana,64,6.41132918
2020,DEC,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Other Drugs**,34,11.7574288
2020,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Cocaine,1,0.004806077
2020,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Ecstasy,2,0.008487797
2020,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Khat (Catha Edulis),1,0.071187264
2020,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Lsd,1,0.002733732
2020,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Marijuana,53,3.418113049
2020,DEC,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Other Drugs**,29,270.734007
2020,DEC,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Cocaine,1,0.000440925
2020,DEC,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Ecstasy,1,0.001543236
2020,DEC,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Marijuana,56,6.805559797
2020,DEC,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Methamphetamine,3,0.015895329
2020,DEC,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Other Drugs**,9,1.402580911
2020,DEC,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Marijuana,3,13.14616468
2020,DEC,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Other Drugs**,4,0.540132542
2020,DEC,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Cocaine,1,0.046738
2020,DEC,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Lsd,16,0.063052207
2020,DEC,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Marijuana,20,4.422450929
2020,DEC,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Methamphetamine,2,0.035714886
2020,DEC,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Other Drugs**,17,0.137347989
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Cocaine,2,0.044753839
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Ecstasy,3,0.433605177
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Heroin,1,0.000793664
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Ketamine,1,0.000440925
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Lsd,8,0.036817198
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Marijuana,26,6.620812421
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Methamphetamine,1,0.012588395
2020,DEC,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Other Drugs**,115,20.68985418
2020,DEC,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Marijuana,3,0.422582064
2020,DEC,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Other Drugs**,5,107.8280923
2020,DEC,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Lsd,7,0.105160499
2020,DEC,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Marijuana,12,4.419166042
2020,DEC,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Methamphetamine,1,0.002645547
2020,DEC,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Other Drugs**,32,19.07174936
2020,DEC,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Cocaine,5,36.68558178
2020,DEC,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Marijuana,42,2264.243178
2020,DEC,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Methamphetamine,13,325.8495285
2020,DEC,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Other Drugs**,4,0.581976279
2020,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Cocaine,7,209.2060542
2020,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Heroin,1,2.20462262
2020,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Marijuana,20,1492.703525
2020,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Methamphetamine,11,1950.420615
2020,DEC,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Other Drugs**,21,46.99012019
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Cocaine,22,621.7232
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Fentanyl,14,63.668421
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Heroin,31,182.2431447
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Ketamine,1,0.809581519
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Marijuana,91,24771.88799
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Methamphetamine,144,7558.280703
2020,DEC,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Other Drugs**,42,94.49131599
2020,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Cocaine,11,111.5313292
2020,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Fentanyl,16,36.24789805
2020,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Heroin,10,180.582623
2020,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Marijuana,20,852.8534545
2020,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Methamphetamine,26,1313.872188
2020,DEC,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Other Drugs**,7,9.267175276
2020,DEC,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Marijuana,1,0.019643188
2020,DEC,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Methamphetamine,1,4944.30715
2020,DEC,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Marijuana,4,0.285983646
2020,DEC,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Methamphetamine,1,1.146403762
2020,DEC,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Other Drugs**,1,0.006988654
2020,DEC,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Marijuana,9,5.326985544
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Cocaine,7,11.4185
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Marijuana,10,73.6962
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Methamphetamine,1,15.6114
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Other Drugs**,8,0.0212
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,NEW ORLEANS SECTOR,Marijuana,1,1
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,NEW ORLEANS SECTOR,Methamphetamine,1,0.0044
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,RAMEY SECTOR,Cocaine,4,809.7554
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,RAMEY SECTOR,Marijuana,1,8.465
2020,DEC,U.S. Border Patrol,Coastal/Interior,Other,RAMEY SECTOR,Other Drugs**,1,0.82
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Marijuana,1,0.0112
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Cocaine,1,0.1125
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,GRAND FORKS SECTOR,Other Drugs**,1,0.3116
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Heroin,1,0.0009
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Marijuana,3,0.1133
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Methamphetamine,2,0.0002
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Marijuana,2,0.1274
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Cocaine,1,0.0044
2020,DEC,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Marijuana,3,0.1415
2020,DEC,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Cocaine,2,0.0138
2020,DEC,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Marijuana,29,2467.7269
2020,DEC,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Methamphetamine,2,0.0051
